rank,champion,entropy,expected_remaining,gender,positions,species,resource,range_type,regions,release_year
46,Elise,5.6095220417826805,4.883720930232558,Female,"[""Jungle"", ""Support""]","[""Human"", ""Magically Altered""]",Mana,"[""Melee"", ""Ranged""]","[""Noxus"", ""Shadow Isles""]",2012
47,Udyr,5.604950821969332,5.244186046511628,Male,"[""Jungle""]","[""Human"", ""Spiritualist""]",Mana,"[""Melee""]","[""Freljord"", ""Ionia""]",2009
48,Olaf,5.570712110688551,5.290697674418604,Male,"[""Top""]","[""Human"", ""Iceborn""]",Mana,"[""Melee""]","[""Freljord""]",2010
49,Ezreal,5.547837716339352,5.0813953488372094,Male,"[""Bottom""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Piltover""]",2010
50,Braum,5.539150099479952,5.255813953488372,Male,"[""Support""]","[""Human"", ""Iceborn""]",Mana,"[""Melee""]","[""Freljord""]",2014
51,Katarina,5.537159762057787,5.511627906976744,Female,"[""Middle""]","[""Human""]",Manaless,"[""Melee""]","[""Noxus""]",2009
52,Zyra,5.533184299262154,5.174418604651163,Female,"[""Support""]","[""Human"", ""Plant""]",Mana,"[""Ranged""]","[""Ixtal""]",2012
53,Seraphine,5.5291189552272595,5.825581395348837,Female,"[""Support""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Piltover"", ""Zaun""]",2020
54,Miss Fortune,5.525403803564682,4.848837209302325,Female,"[""Bottom""]","[""Human""]",Mana,"[""Ranged""]","[""Bilgewater""]",2010
55,Illaoi,5.513701561312933,5.5,Female,"[""Top""]","[""Human"", ""Spiritualist""]",Mana,"[""Melee""]","[""Bilgewater""]",2015
56,K'Sante,5.513441513078341,5.895348837209302,Male,"[""Top""]","[""Human""]",Mana,"[""Melee""]","[""Shurima""]",2022
57,Akshan,5.511513246788545,5.534883720930233,Male,"[""Middle""]","[""Human""]",Mana,"[""Ranged""]","[""Shurima""]",2021
58,Master Yi,5.499269824126433,5.8023255813953485,Male,"[""Jungle""]","[""Human"", ""Spiritualist""]",Mana,"[""Melee""]","[""Ionia""]",2009
59,Ryze,5.498493672152629,5.488372093023256,Male,"[""Middle""]","[""Human"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Runeterra""]",2009
60,Gragas,5.490117392175653,5.406976744186046,Male,"[""Jungle"", ""Top""]","[""Human"", ""Iceborn""]",Mana,"[""Melee""]","[""Freljord""]",2010
61,Morgana,5.464719216713775,4.930232558139535,Female,"[""Middle"", ""Support""]","[""Aspect"", ""Human"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Demacia"", ""Targon""]",2009
62,Sivir,5.460823953329784,5.5,Female,"[""Bottom""]","[""Human""]",Mana,"[""Ranged""]","[""Shurima""]",2009
63,Yone,5.457123833165987,5.976744186046512,Male,"[""Middle"", ""Top""]","[""Human"", ""Magically Altered""]",Manaless,"[""Melee""]","[""Ionia""]",2020
64,Qiyana,5.447463100493416,5.523255813953488,Female,"[""Jungle"", ""Middle""]","[""Human"", ""Magicborn""]",Mana,"[""Melee""]","[""Ixtal""]",2019
65,Gangplank,5.446487013508268,5.767441860465116,Male,"[""Top""]","[""Human""]",Mana,"[""Melee""]","[""Bilgewater""]",2009
66,Twisted Fate,5.4446897630815725,5.313953488372093,Male,"[""Middle""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Bilgewater""]",2009
67,Jayce,5.4388144420034195,5.255813953488372,Male,"[""Jungle"", ""Top""]","[""Human""]",Mana,"[""Melee"", ""Ranged""]","[""Piltover""]",2012
68,Samira,5.435258432389723,6.058139534883721,Female,"[""Bottom""]","[""Human""]",Mana,"[""Ranged""]","[""Noxus"", ""Shurima""]",2020
69,Kassadin,5.4334745568350025,5.534883720930233,Male,"[""Middle""]","[""Human"", ""Void-Being""]",Mana,"[""Melee""]","[""Shurima"", ""Void""]",2009
70,Singed,5.4164307727880345,5.825581395348837,Male,"[""Top""]","[""Chemically Altered"", ""Human""]",Mana,"[""Melee""]","[""Piltover"", ""Zaun""]",2009
71,Ahri,5.3731977825062796,6.337209302325581,Female,"[""Middle""]","[""Vastayan""]",Mana,"[""Ranged""]","[""Ionia""]",2011
72,Taric,5.370509553150623,5.569767441860465,Male,"[""Support""]","[""Aspect"", ""Human""]",Mana,"[""Melee""]","[""Demacia"", ""Targon""]",2009
73,Mel,5.365868499635482,5.616279069767442,Female,"[""Middle"", ""Support""]","[""Human"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Noxus"", ""Piltover""]",2025
74,Xerath,5.361900253511806,5.383720930232558,Male,"[""Middle"", ""Support""]","[""Baccai""]",Mana,"[""Ranged""]","[""Shurima""]",2011
75,Pantheon,5.355316657498955,5.523255813953488,Male,"[""Jungle"", ""Support"", ""Top""]","[""Aspect"", ""Human""]",Mana,"[""Melee""]","[""Targon""]",2010
76,Jhin,5.3485033346147635,6.790697674418604,Male,"[""Bottom""]","[""Human"", ""Spiritualist""]",Mana,"[""Ranged""]","[""Ionia""]",2016
77,Wukong,5.347023500769836,6.569767441860465,Male,"[""Jungle""]","[""Vastayan""]",Mana,"[""Melee""]","[""Ionia""]",2011
78,Camille,5.333346505023768,6.244186046511628,Female,"[""Top""]","[""Cyborg"", ""Human""]",Mana,"[""Melee""]","[""Piltover""]",2016
79,Tryndamere,5.2870800171686625,6.767441860465116,Male,"[""Top""]","[""Human"", ""Magically Altered""]",Fury,"[""Melee""]","[""Freljord""]",2009
80,Rell,5.278324281660973,6.709302325581396,Female,"[""Support""]","[""Human"", ""Magically Altered"", ""Magicborn""]",Mana,"[""Melee""]","[""Noxus""]",2020
81,Warwick,5.273950710741762,6.476744186046512,Male,"[""Jungle""]","[""Chemically Altered"", ""Cyborg"", ""Human""]",Mana,"[""Melee""]","[""Zaun""]",2009
82,Jinx,5.271237634379521,6.616279069767442,Female,"[""Bottom""]","[""Chemically Altered"", ""Human""]",Mana,"[""Ranged""]","[""Zaun""]",2013
83,Nami,5.266905421776208,6.976744186046512,Female,"[""Support""]","[""Vastayan""]",Mana,"[""Ranged""]","[""Bilgewater"", ""Runeterra""]",2012
84,Poppy,5.256899636086063,6.4186046511627906,Female,"[""Support"", ""Top""]","[""Yordle""]",Mana,"[""Melee""]","[""Demacia""]",2010
85,Kennen,5.253491752787985,6.465116279069767,Male,"[""Middle"", ""Top""]","[""Yordle""]",Energy,"[""Ranged""]","[""Ionia""]",2010
86,Hwei,5.247663390187709,7.093023255813954,Male,"[""Middle""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Ionia""]",2023
87,Nocturne,5.241169037632584,7.27906976744186,Male,"[""Jungle""]","[""Demon"", ""Spirit""]",Mana,"[""Melee""]","[""Runeterra""]",2011
88,Nunu & Willump,5.240757511865171,7.0813953488372094,Male,"[""Jungle""]","[""Human"", ""Yeti""]",Mana,"[""Melee""]","[""Freljord""]",2009
89,Fizz,5.235072531125131,6.883720930232558,Male,"[""Middle""]","[""Yordle""]",Mana,"[""Melee""]","[""Bilgewater""]",2011
90,Zoe,5.230927906961825,7.046511627906977,Female,"[""Middle""]","[""Aspect"", ""Human""]",Mana,"[""Ranged""]","[""Targon""]",2017
91,Zaahen,5.214953695209072,6.5813953488372094,Male,"[""Top""]","[""Darkin"", ""Human""]",Mana,"[""Melee""]","[""Ionia"", ""Shurima""]",2025
92,Maokai,5.2055966679665335,7.023255813953488,Male,"[""Support""]","[""Spirit""]",Mana,"[""Melee""]","[""Shadow Isles""]",2011
93,Senna,5.183508126682769,7.255813953488372,Female,"[""Support""]","[""Human"", ""Undead""]",Mana,"[""Ranged""]","[""Shadow Isles""]",2019
94,Ziggs,5.177318542593522,7.895348837209302,Male,"[""Bottom"", ""Middle""]","[""Yordle""]",Mana,"[""Ranged""]","[""Zaun""]",2012
95,Kai'Sa,5.172707069418297,7.058139534883721,Female,"[""Bottom""]","[""Human"", ""Void-Being""]",Mana,"[""Ranged""]","[""Shurima"", ""Void""]",2018
96,Locke,5.165989570773256,6.162790697674419,Male,"[""Jungle"", ""Middle""]","[""Human""]",Mana,"[""Melee""]","[""Demacia""]",2026
97,Amumu,5.163329783734983,8.255813953488373,Male,"[""Jungle""]","[""Undead"", ""Yordle""]",Mana,"[""Melee""]","[""Shurima""]",2009
98,Tahm Kench,5.13837588119984,6.813953488372093,Male,"[""Support"", ""Top""]","[""Demon"", ""Spirit""]",Mana,"[""Melee""]","[""Bilgewater"", ""Runeterra""]",2015
99,Ambessa,5.124463390162396,7.558139534883721,Female,"[""Top""]","[""Human""]",Energy,"[""Melee""]","[""Noxus"", ""Piltover""]",2024
100,Volibear,5.101467142779455,7.744186046511628,Male,"[""Jungle"", ""Top""]","[""God"", ""Spirit""]",Mana,"[""Melee""]","[""Freljord""]",2011
101,Shyvana,5.0802395729708305,7.8023255813953485,Female,"[""Jungle""]","[""Dragon"", ""Magically Altered""]",Fury,"[""Melee""]","[""Demacia""]",2011
102,Renata Glasc,5.069779077852518,7.72093023255814,Female,"[""Support""]","[""Chemically Altered"", ""Human""]",Mana,"[""Ranged""]","[""Zaun""]",2022
103,Orianna,5.062310604512497,7.546511627906977,Female,"[""Middle""]","[""Golem""]",Mana,"[""Ranged""]","[""Piltover""]",2011
104,Galio,5.05764014891734,8.069767441860465,Male,"[""Middle""]","[""Golem""]",Mana,"[""Melee""]","[""Demacia""]",2010
105,Gwen,5.0556092811640925,7.755813953488372,Female,"[""Jungle"", ""Top""]","[""Human"", ""Magically Altered""]",Mana,"[""Melee""]","[""Camavor"", ""Shadow Isles""]",2021
106,Rengar,5.043128414301707,7.604651162790698,Male,"[""Jungle""]","[""Vastayan""]",Ferocity,"[""Melee""]","[""Ixtal"", ""Shurima""]",2012
107,Aphelios,5.041411363286656,8.36046511627907,Male,"[""Bottom""]","[""Human"", ""Spiritualist""]",Mana,"[""Ranged""]","[""Targon""]",2019
108,Veigar,5.035678831750772,7.674418604651163,Male,"[""Middle""]","[""Yordle""]",Mana,"[""Ranged""]","[""Bandle City"", ""Runeterra"", ""Shadow Isles""]",2009
109,Janna,5.027412809356864,7.313953488372093,Female,"[""Support""]","[""God"", ""Spirit""]",Mana,"[""Ranged""]","[""Shurima"", ""Zaun""]",2009
110,Ashe,5.024697853948753,6.906976744186046,Female,"[""Bottom""]","[""Human"", ""Iceborn""]",Mana,"[""Ranged""]","[""Freljord""]",2009
111,Sett,5.021687579818847,7.662790697674419,Male,"[""Top""]","[""Human"", ""Vastayan""]",Grit,"[""Melee""]","[""Ionia""]",2020
112,Milio,5.017658144708623,7.848837209302325,Male,"[""Support""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Ixtal""]",2023
113,Hecarim,4.99619519192924,8.232558139534884,Male,"[""Jungle""]","[""Undead""]",Mana,"[""Melee""]","[""Camavor"", ""Shadow Isles""]",2012
114,Renekton,4.991780228414198,7.941860465116279,Male,"[""Top""]","[""God-Warrior""]",Fury,"[""Melee""]","[""Shurima""]",2011
115,Lulu,4.974027544015874,8.546511627906977,Female,"[""Support""]","[""Yordle""]",Mana,"[""Ranged""]","[""Bandle City""]",2012
116,Azir,4.970352375374697,9.116279069767442,Male,"[""Middle""]","[""God-Warrior""]",Mana,"[""Ranged""]","[""Shurima""]",2014
117,Aurelion Sol,4.94694342726158,9.186046511627907,Male,"[""Middle""]","[""Celestial"", ""Dragon""]",Mana,"[""Ranged""]","[""Runeterra"", ""Targon""]",2016
118,Rakan,4.944662788009044,10.279069767441861,Male,"[""Support""]","[""Vastayan""]",Mana,"[""Melee""]","[""Ionia""]",2017
119,Aatrox,4.913706589298624,8.069767441860465,Male,"[""Top""]","[""Darkin""]",Manaless,"[""Melee""]","[""Runeterra"", ""Shurima""]",2013
120,Karthus,4.913343414827008,9.244186046511627,Male,"[""Jungle""]","[""Undead""]",Mana,"[""Ranged""]","[""Noxus"", ""Shadow Isles""]",2009
121,Skarner,4.912394363467767,8.418604651162791,Male,"[""Jungle""]","[""Brackern""]",Mana,"[""Melee""]","[""Ixtal""]",2011
122,Zeri,4.906789845458095,8.988372093023257,Female,"[""Bottom""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Zaun""]",2022
123,Heimerdinger,4.905005252602655,8.30232558139535,Male,"[""Middle"", ""Top""]","[""Yordle""]",Mana,"[""Ranged""]","[""Piltover""]",2009
124,Nautilus,4.893026636508915,8.709302325581396,Male,"[""Support""]","[""Revenant""]",Mana,"[""Melee""]","[""Bilgewater""]",2012
125,Mordekaiser,4.8779876718367845,8.883720930232558,Male,"[""Top""]","[""Revenant""]",Shield,"[""Melee""]","[""Noxus"", ""Shadow Isles""]",2010
126,Malphite,4.87691996064114,9.523255813953488,Male,"[""Top""]","[""Golem""]",Mana,"[""Melee""]","[""Ixtal"", ""Shurima""]",2009
127,Dr. Mundo,4.874887661195969,8.55813953488372,Male,"[""Jungle"", ""Top""]","[""Chemically Altered"", ""Human""]",Health costs,"[""Melee""]","[""Zaun""]",2009
128,Ornn,4.874089535334184,10.023255813953488,Male,"[""Top""]","[""God"", ""Spirit""]",Mana,"[""Melee""]","[""Freljord""]",2017
129,Lillia,4.860663101349163,11.116279069767442,Female,"[""Jungle""]","[""Spirit""]",Mana,"[""Melee""]","[""Ionia""]",2020
130,Kha'Zix,4.856559818797283,8.848837209302326,Male,"[""Jungle""]","[""Void-Being""]",Mana,"[""Melee""]","[""Void""]",2012
131,Soraka,4.831921998811362,8.546511627906977,Female,"[""Support""]","[""Celestial""]",Mana,"[""Ranged""]","[""Ionia"", ""Targon""]",2009
132,Nilah,4.8212498545102855,9.127906976744185,Female,"[""Bottom""]","[""Human"", ""Magically Altered""]",Mana,"[""Melee""]","[""Bilgewater""]",2022
133,Shaco,4.818960425158215,9.034883720930232,Male,"[""Jungle"", ""Support""]","[""Spirit""]",Mana,"[""Melee""]","[""Runeterra""]",2009
134,Trundle,4.815125056652152,9.744186046511627,Male,"[""Jungle"", ""Top""]","[""Iceborn"", ""Troll""]",Mana,"[""Melee""]","[""Freljord""]",2010
135,Thresh,4.81190743293018,9.744186046511627,Male,"[""Support""]","[""Undead""]",Mana,"[""Ranged""]","[""Shadow Isles""]",2013
136,Rammus,4.806692776063029,10.44186046511628,Male,"[""Jungle""]","[""Unknown""]",Mana,"[""Melee""]","[""Shurima""]",2009
137,Alistar,4.796594399298273,8.94186046511628,Male,"[""Support""]","[""Minotaur""]",Mana,"[""Melee""]","[""Noxus"", ""Runeterra""]",2009
138,Anivia,4.795091934327867,9.127906976744185,Female,"[""Middle""]","[""God"", ""Spirit""]",Mana,"[""Ranged""]","[""Freljord""]",2009
139,Nasus,4.794451394425932,10.848837209302326,Male,"[""Top""]","[""God-Warrior""]",Mana,"[""Melee""]","[""Shurima""]",2009
140,Bard,4.769220274942764,10.453488372093023,Male,"[""Support""]","[""Celestial""]",Mana,"[""Ranged""]","[""Runeterra""]",2015
141,Yunara,4.763293126954903,9.709302325581396,Female,"[""Bottom""]","[""Human"", ""Spiritualist""]",Mana,"[""Ranged""]","[""Ionia""]",2025
142,Kled,4.730551610759632,10.616279069767442,Male,"[""Top""]","[""Yordle""]",Courage,"[""Melee""]","[""Noxus""]",2016
143,Sion,4.725686048302356,10.965116279069768,Male,"[""Top""]","[""Revenant""]",Mana,"[""Melee""]","[""Noxus""]",2009
144,Nidalee,4.706709251020946,10.116279069767442,Female,"[""Jungle""]","[""Human"", ""Spiritualist""]",Mana,"[""Melee"", ""Ranged""]","[""Ixtal""]",2009
145,Vel'Koz,4.704745706762775,9.290697674418604,Male,"[""Middle"", ""Support""]","[""Void-Being""]",Mana,"[""Ranged""]","[""Void""]",2014
146,Kayle,4.6987336282912775,10.093023255813954,Female,"[""Top""]","[""Aspect"", ""Human"", ""Magically Altered""]",Mana,"[""Melee"", ""Ranged""]","[""Demacia"", ""Targon""]",2009
147,Yuumi,4.6821103284376955,12.034883720930232,Female,"[""Support""]","[""Cat"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Bandle City""]",2019
148,Jax,4.669746092696353,10.046511627906977,Male,"[""Jungle"", ""Top""]","[""Unknown""]",Mana,"[""Melee""]","[""Icathia"", ""Runeterra"", ""Shurima""]",2009
149,Rumble,4.666692293734474,9.430232558139535,Male,"[""Top""]","[""Yordle""]",Heat,"[""Melee""]","[""Bandle City""]",2011
150,Evelynn,4.640083876779668,11.732558139534884,Female,"[""Jungle""]","[""Demon"", ""Spirit""]",Mana,"[""Melee""]","[""Runeterra""]",2009
151,Naafiri,4.6190915065673686,10.5,Female,"[""Jungle"", ""Middle""]","[""Darkin"", ""Dog""]",Mana,"[""Melee""]","[""Shurima""]",2023
152,Rek'Sai,4.610832197974296,10.534883720930232,Female,"[""Jungle""]","[""Void-Being""]",Rage,"[""Melee""]","[""Shurima"", ""Void""]",2014
153,Xayah,4.582015238633586,13.523255813953488,Female,"[""Bottom""]","[""Vastayan""]",Mana,"[""Ranged""]","[""Ionia""]",2017
154,Vex,4.57789186737749,13.081395348837209,Female,"[""Middle""]","[""Yordle""]",Mana,"[""Ranged""]","[""Bandle City"", ""Shadow Isles""]",2021
155,Zac,4.554118896957043,10.69767441860465,Male,"[""Jungle""]","[""Golem""]",Health costs,"[""Melee""]","[""Zaun""]",2013
156,Teemo,4.499853764911327,12.337209302325581,Male,"[""Top""]","[""Yordle""]",Mana,"[""Ranged""]","[""Bandle City""]",2009
157,Kog'Maw,4.499028912997086,10.976744186046512,Male,"[""Bottom""]","[""Void-Being""]",Mana,"[""Ranged""]","[""Void""]",2010
158,Pyke,4.472700266249685,12.80232558139535,Male,"[""Support""]","[""Revenant""]",Mana,"[""Melee""]","[""Bilgewater""]",2018
159,Neeko,4.465959584050102,13.13953488372093,Female,"[""Support""]","[""Vastayan""]",Mana,"[""Ranged""]","[""Ixtal""]",2018
160,Cho'Gath,4.4102576375124976,12.744186046511627,Male,"[""Top""]","[""Void-Being""]",Mana,"[""Melee""]","[""Void""]",2009
161,Kalista,4.407843660491051,12.848837209302326,Female,"[""Bottom""]","[""Undead""]",Mana,"[""Ranged""]","[""Camavor"", ""Shadow Isles""]",2014
162,Corki,4.363868226452204,12.651162790697674,Male,"[""Bottom""]","[""Yordle""]",Mana,"[""Ranged""]","[""Bandle City"", ""Piltover""]",2009
163,Aurora,4.32621932934501,13.395348837209303,Female,"[""Middle""]","[""Vastayan""]",Mana,"[""Ranged""]","[""Freljord""]",2024
164,Twitch,4.195898830887533,13.883720930232558,Male,"[""Bottom""]","[""Chemically Altered"", ""Rat""]",Mana,"[""Ranged""]","[""Zaun""]",2009
165,Tristana,4.147745740476024,14.162790697674419,Female,"[""Bottom""]","[""Yordle""]",Mana,"[""Ranged""]","[""Bandle City""]",2009
166,Kindred,4.129208181032558,17.023255813953487,Other,"[""Jungle""]","[""God"", ""Spirit""]",Mana,"[""Ranged""]","[""Runeterra""]",2015
167,Briar,4.038522954165288,17.197674418604652,Female,"[""Jungle""]","[""Golem""]",Health costs,"[""Melee""]","[""Noxus""]",2023
168,Viego,4.02310572509606,17.162790697674417,Male,"[""Jungle""]","[""Undead""]",Manaless,"[""Melee""]","[""Camavor"", ""Shadow Isles""]",2021
169,Gnar,4.004379627837775,17.953488372093023,Male,"[""Top""]","[""Yordle""]",Rage,"[""Melee"", ""Ranged""]","[""Freljord""]",2014
170,Blitzcrank,3.9932315889687886,17.790697674418606,Other,"[""Support""]","[""Golem""]",Mana,"[""Melee""]","[""Zaun""]",2009
171,Fiddlesticks,3.9578836124637107,21.069767441860463,Other,"[""Jungle""]","[""Demon"", ""Spirit""]",Mana,"[""Ranged""]","[""Runeterra""]",2009
172,Smolder,3.89841906978078,17.976744186046513,Male,"[""Bottom""]","[""Dragon""]",Mana,"[""Ranged""]","[""Camavor"", ""Noxus""]",2024
173,Bel'Veth,3.8401869364948995,19.162790697674417,Female,"[""Jungle""]","[""Void-Being""]",Manaless,"[""Melee""]","[""Void""]",2022
